246100,闯堂兔2：疯狂马戏团,,0.11,<0.1%,<0.1%,<0.1%,2084.8万,3831.0万,2021-02-05 22:20:38
342906,非凡任务,,0.07,<0.1%,<0.1%,<0.1%,1.47亿,3831.0万,2021-02-05 22:20:38
1351768,马莲花开,上映首日,0.06,<0.1%,<0.1%,<0.1%,572,3831.0万,2021-02-05 22:20:38
1303287,棒！少年,上映57天,0.05,<0.1%,<0.1%,<0.1%,737.5万,3831.0万,2021-02-05 22:20:38
1283263,天后小助理,上映22天,0.03,<0.1%,<0.1%,<0.1%,22.9万,3831.0万,2021-02-05 22:20:38
1301793,掬水月在手,,0.03,<0.1%,<0.1%,<0.1%,726.5万,3831.0万,2021-02-05 22:20:38
1320476,如梦晋阳,上映23天,0.02,<0.1%,<0.1%,<0.1%,34.4万,3831.0万,2021-02-05 22:20:38
246315,咱们结婚吧,,0.02,<0.1%,<0.1%,<0.1%,2.84亿,3831.0万,2021-02-05 22:20:38
345963,阿里巴巴2所罗门封印,,0.01,<0.1%,<0.1%,<0.1%,2203.3万,3831.0万,2021-02-05 22:20:38
1370629,光语者,上映47天,0.01,<0.1%,<0.1%,<0.1%,42.9万,3831.0万,2021-02-05 22:20:38
1243732,城市猎人,上映57天,0.01,<0.1%,<0.1%,<0.1%,223.2万,3831.0万,2021-02-05 22:20:38
1300301,日光之下,上映71天,0.01,<0.1%,<0.1%,<0.1%,97.6万,3831.0万,2021-02-05 22:20:38
248835,消失爱人,,0.01,<0.1%,<0.1%,<0.1%,6441.5万,3831.0万,2021-02-05 22:20:38
248851,天亮之前,,0.01,<0.1%,<0.1%,<0.1%,3631.0万,3831.0万,2021-02-05 22:20:38
1403541,话梦光影,上映首日,0.00,<0.1%,<0.1%,<0.1%,34,3831.0万,2021-02-05 22:20:38
1216140,热气球飞行家,上映85天,0.00,<0.1%,<0.1%,<0.1%,1915.1万,3831.0万,2021-02-05 22:20:38
1260995,丑小鸭的天鹅湖,上映首日,0.00,<0.1%,<0.1%,<0.1%,34,3831.0万,2021-02-05 22:20:38
1357206,流浪地球：飞跃2020特别版,上映72天,0.00,<0.1%,<0.1%,<0.1%,329.6万,3831.0万,2021-02-05 22:20:38
1205905,未来的未来,上映92天,0.00,<0.1%,<0.1%,<0.1%,897.2万,3831.0万,2021-02-05 22:20:38
605319,星际探索,,0.00,<0.1%,<0.1%,<0.1%,2099.3万,3831.0万,2021-02-05 22:20:38
27,龙门飞甲,,0.00,<0.1%,<0.1%,<0.1%,5.39亿,3831.0万,2021-02-05 22:20:38
1299124,新神榜：哪吒重生,点映,0.00,<0.1%,<0.1%,<0.1%,1.6万,3831.0万,2021-02-05 22:20:38
342574,地狱男爵：血皇后崛起,上映89天,0.00,<0.1%,<0.1%,<0.1%,7684.6万,3831.0万,2021-02-05 22:20:38
78772,闺蜜,,0.00,<0.1%,<0.1%,<0.1%,2.04亿,3831.0万,2021-02-05 22:20:38
246591,大鱼海棠,,0.00,<0.1%,<0.1%,<0.1%,5.72亿,3831.0万,2021-02-05 22:20:38
1302490,赤焰,,0.00,<0.1%,<0.1%,<0.1%,1107.5万,3831.0万,2021-02-05 22:20:38
1351412,少年梦2,上映18天,0.00,<0.1%,<0.1%,<0.1%,29,3831.0万,2021-02-05 22:20:38
1355760,生死下一秒,上映27天,0.00,<0.1%,<0.1%,<0.1%,10.2万,3831.0万,2021-02-05 22:20:38
1372658,京北的我们,上映22天,0.00,<0.1%,<0.1%,<0.1%,17.1万,3831.0万,2021-02-05 22:20:38
594031,小伟的夏天,展映,0.00,<0.1%,<0.1%,<0.1%,25,3831.0万,2021-02-05 22:20:38
1299444,长安伏妖,上映29天,0.00,<0.1%,<0.1%,<0.1%,290.2万,3831.0万,2021-02-05 22:20:38
1241850,海兽之子,上映78天,0.00,<0.1%,<0.1%,<0.1%,1471.7万,3831.0万,2021-02-05 22:20:38
78698,白日焰火,,0.00,<0.1%,<0.1%,<0.1%,1.04亿,3831.0万,2021-02-05 22:20:38
